Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
herringbone-parquet-engineered-wood-flooring-12mm-essence-oak-matt-lacquer,Herringbone Parquet Engineered Wood Flooring 12mm Essence Oak Matt Lacquer,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,74170H,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74170h-14.jpg,1,Herringbone Parquet Engineered Wood Flooring 12mm Essence Oak Matt Lacquer,Herringbone Parquet Engineered Wood Flooring 12mm Essence Oak Matt Lacquer,,active
herringbone-parquet-engineered-wood-flooring-12mm-essence-oak-matt-lacquer,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74170h-18.jpg,2,Herringbone Parquet Engineered Wood Flooring 12mm Essence Oak Matt Lacquer,,,
abbey-cinder-engineered-wood-flooring-10mm-x-125mm-double-smoked-brushed-lacquer-flooring,Abbey Cinder Engineered Wood Flooring 10mm x 125mm Double Smoked Brushed Lacquer Flooring,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,74172P,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74172h-13.jpg,1,Abbey Cinder Engineered Wood Flooring 10mm x 125mm Double Smoked Brushed Lacquer Flooring,Abbey Cinder Engineered Wood Flooring 10mm x 125mm Double Smoked Brushed Lacquer Flooring,,active
abbey-cinder-engineered-wood-flooring-10mm-x-125mm-double-smoked-brushed-lacquer-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74172h-16.jpg,2,Abbey Cinder Engineered Wood Flooring 10mm x 125mm Double Smoked Brushed Lacquer Flooring,,,
herringbone-parquet-engineered-wood-flooring-15mm-rich-oak-hard-wax-oiled,Herringbone Parquet Engineered Wood Flooring 15mm Rich Oak Hard Wax Oiled,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,74174H,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74174h_1_2.png,1,Herringbone Parquet Engineered Wood Flooring 15mm Rich Oak Hard Wax Oiled,Herringbone Parquet Engineered Wood Flooring 15mm Rich Oak Hard Wax Oiled,,active
herringbone-parquet-engineered-wood-flooring-15mm-rich-oak-hard-wax-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74174h_10_2.png,2,Herringbone Parquet Engineered Wood Flooring 15mm Rich Oak Hard Wax Oiled,,,
14mm-herringbone-parquet-engineered-wood-flooring-nude-oak,14mm Herringbone Parquet Engineered Wood Flooring Nude Oak,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,E73507SPN07,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_parquet_14mm_nude_oak_engineered_10.jpg,1,14mm Herringbone Parquet Engineered Wood Flooring Nude Oak,14mm Herringbone Parquet Engineered Wood Flooring Nude Oak,,active
14mm-herringbone-parquet-engineered-wood-flooring-nude-oak,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_parquet_14mm_nude_oak_engineered_13.jpg,2,14mm Herringbone Parquet Engineered Wood Flooring Nude Oak,,,
abbey-danson-nude-oak-14mm-x-165mm-brushed-matt-lacquered-engineered-wood-flooring,Abbey Danson Nude Oak 14mm x 165mm Brushed Matt Lacquered Engineered Wood Flooring,,Factory Direct Flooring,Home & Garden > Decor > Flooring,Engineered Wood Flooring,engineered-wood-flooring,TRUE,Title,Default Title,74101DAN,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/b/abbey_danson_nude_oak_14mm_brushed_matt_lacquered_engineered_15.jpg,1,Abbey Danson Nude Oak 14mm x 165mm Brushed Matt Lacquered Engineered Wood Flooring,Abbey Danson Nude Oak 14mm x 165mm Brushed Matt Lacquered Engineered Wood Flooring,,active
abbey-danson-nude-oak-14mm-x-165mm-brushed-matt-lacquered-engineered-wood-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/b/abbey_danson_nude_oak_14mm_brushed_matt_lacquered_engineered_12.jpg,2,Abbey Danson Nude Oak 14mm x 165mm Brushed Matt Lacquered Engineered Wood Flooring,,,
